format: 0, nTracks: 1, division: 480
note_on  - ch:00,  note:45,  vel:38 time:6
note_off - ch:00,  note:47,  vel:40 time:7
controller - ch: 00, cont: #40, value: 00
controller - ch: 00, cont: #3C, value: 80
controller - ch: 00, cont: #40, value: 09
controller - ch: 00, cont: #38, value: 1B
controller - ch: 00, cont: #32, value: 02
controller - ch: 00, cont: #43, value: 40
controller - ch: 00, cont: #54, value: B0
controller - ch: 00, cont: #2F, value: 00
controller - ch: 00, cont: #4E, value: 01
controller - ch: 00, cont: #41, value: 40
note_on  - ch:00,  note:2B,  vel:3E time:0
controller - ch: 00, cont: #40, value: 3F
controller - ch: 00, cont: #40, value: 46
note_off - ch:00,  note:43,  vel:40 time:4
note_off - ch:00,  note:2B,  vel:40 time:11
controller - ch: 00, cont: #40, value: 4E
controller - ch: 00, cont: #40, value: 5A
controller - ch: 00, cont: #40, value: 72
controller - ch: 00, cont: #40, value: 7F
controller - ch: 00, cont: #40, value: 60
controller - ch: 00, cont: #40, value: 4A
note_on  - ch:00,  note:43,  vel:3C time:20
controller - ch: 00, cont: #40, value: 3A
note_on  - ch:00,  note:3C,  vel:38 time:6
note_on  - ch:00,  note:3E,  vel:30 time:8
controller - ch: 00, cont: #40, value: 21
note_off - ch:00,  note:43,  vel:40 time:15
controller - ch: 00, cont: #40, value: 00
note_off - ch:00,  note:3C,  vel:40 time:1
note_off - ch:00,  note:3E,  vel:40 time:7
note_on  - ch:00,  note:45,  vel:2F time:222
note_on  - ch:00,  note:5E,  vel:90 time:94
note_on  - ch:00,  note:3E,  vel:07 time:67
note_on  - ch:00,  note:30,  vel:02 time:2107
note_on  - ch:00,  note:45,  vel:40 time:69
note_on  - ch:00,  note:3E,  vel:2D time:0
note_on  - ch:00,  note:57,  vel:B0 time:87
note_on  - ch:00,  note:1F,  vel:13 time:64
note_on  - ch:00,  note:34,  vel:12 time:6208
note_on  - ch:00,  note:3D,  vel:14 time:6208
note_on  - ch:00,  note:40,  vel:13 time:6208
note_on  - ch:00,  note:43,  vel:14 time:6208
note_on  - ch:00,  note:46,  vel:12 time:6208
note_on  - ch:00,  note:4B,  vel:0E time:6208
note_on  - ch:00,  note:3E,  vel:40 time:62
controller - ch: 00, cont: #40, value: 54
controller - ch: 00, cont: #40, value: 5F
note_off - ch:00,  note:3B,  vel:40 time:14
controller - ch: 00, cont: #40, value: 72
controller - ch: 00, cont: #40, value: 7F
controller - ch: 00, cont: #27, value: 80
