format: 0, nTracks: 1, division: 480
note_off - ch:00,  note:40,  vel:40 time:0
note_off - ch:00,  note:4C,  vel:40 time:11
note_off - ch:00,  note:4F,  vel:40 time:0
note_on  - ch:00,  note:4E,  vel:5D time:164
note_on  - ch:00,  note:51,  vel:5D time:0
note_on  - ch:00,  note:3B,  vel:37 time:0
note_on  - ch:00,  note:40,  vel:37 time:0
note_off - ch:00,  note:4E,  vel:40 time:51
note_off - ch:00,  note:51,  vel:40 time:0
note_off - ch:00,  note:3B,  vel:40 time:59
note_off - ch:00,  note:40,  vel:40 time:0
note_on  - ch:00,  note:4F,  vel:56 time:21
note_on  - ch:00,  note:51,  vel:56 time:45
note_off - ch:00,  note:4F,  vel:40 time:9
note_on  - ch:00,  note:53,  vel:6A time:31
note_on  - ch:00,  note:34,  vel:3D time:0
note_off - ch:00,  note:51,  vel:40 time:14
note_off - ch:00,  note:53,  vel:40 time:9
note_off - ch:00,  note:34,  vel:40 time:199
note_on  - ch:00,  note:4E,  vel:51 time:0
note_on  - ch:00,  note:51,  vel:58 time:0
note_on  - ch:00,  note:3B,  vel:3E time:0
note_on  - ch:00,  note:40,  vel:3E time:0
note_off - ch:00,  note:4E,  vel:40 time:33
note_off - ch:00,  note:51,  vel:40 time:0
note_off - ch:00,  note:3B,  vel:40 time:4
note_off - ch:00,  note:40,  vel:40 time:0
note_on  - ch:00,  note:4C,  vel:51 time:185
note_on  - ch:00,  note:4F,  vel:58 time:0
note_on  - ch:00,  note:3B,  vel:3E time:0
note_on  - ch:00,  note:40,  vel:3E time:0
note_off - ch:00,  note:4C,  vel:40 time:33
note_off - ch:00,  note:4F,  vel:40 time:0
note_off - ch:00,  note:3B,  vel:40 time:4
note_off - ch:00,  note:40,  vel:40 time:0
note_on  - ch:00,  note:4E,  vel:56 time:185
note_on  - ch:00,  note:51,  vel:5D time:0
note_on  - ch:00,  note:3B,  vel:3E time:0
note_on  - ch:00,  note:40,  vel:3E time:0
note_off - ch:00,  note:4E,  vel:40 time:33
note_off - ch:00,  note:51,  vel:40 time:0
note_off - ch:00,  note:3B,  vel:40 time:27
note_off - ch:00,  note:40,  vel:40 time:61
note_on  - ch:00,  note:4F,  vel:56 time:14
note_on  - ch:00,  note:51,  vel:56 time:44
note_off - ch:00,  note:4F,  vel:40 time:12
note_on  - ch:00,  note:53,  vel:5F time:31
note_on  - ch:00,  note:34,  vel:3D time:0
note_off - ch:00,  note:51,  vel:40 time:12
note_off - ch:00,  note:53,  vel:40 time:15
note_on  - ch:00,  note:4E,  vel:58 time:191
note_on  - ch:00,  note:51,  vel:58 time:0
note_on  - ch:00,  note:3B,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:34,  vel:40 time:30
note_off - ch:00,  note:40,  vel:40 time:11
note_off - ch:00,  note:3B,  vel:40 time:0
note_off - ch:00,  note:51,  vel:40 time:0
note_off - ch:00,  note:4E,  vel:40 time:0
note_on  - ch:00,  note:4C,  vel:4E time:176
note_on  - ch:00,  note:4F,  vel:4E time:0
note_on  - ch:00,  note:2F,  vel:35 time:0
note_off - ch:00,  note:4C,  vel:40 time:42
note_off - ch:00,  note:4F,  vel:40 time:0
note_off - ch:00,  note:2F,  vel:40 time:8
note_on  - ch:00,  note:4B,  vel:4A time:173
note_on  - ch:00,  note:4E,  vel:4A time:0
note_on  - ch:00,  note:3B,  vel:31 time:0
note_off - ch:00,  note:4B,  vel:40 time:52
note_off - ch:00,  note:3B,  vel:40 time:0
note_off - ch:00,  note:4E,  vel:40 time:0
note_on  - ch:00,  note:4C,  vel:40 time:223
note_on  - ch:00,  note:34,  vel:33 time:0
note_on  - ch:00,  note:47,  vel:3B time:503
note_off - ch:00,  note:4C,  vel:40 time:1
note_off - ch:00,  note:34,  vel:40 time:0
note_on  - ch:00,  note:45,  vel:3B time:110
note_off - ch:00,  note:47,  vel:40 time:18
note_on  - ch:00,  note:44,  vel:3B time:93
note_off - ch:00,  note:45,  vel:40 time:18
note_on  - ch:00,  note:45,  vel:3B time:93
note_off - ch:00,  note:44,  vel:40 time:18
note_on  - ch:00,  note:48,  vel:39 time:93
note_on  - ch:00,  note:39,  vel:31 time:0
note_off - ch:00,  note:45,  vel:40 time:18
note_off - ch:00,  note:48,  vel:40 time:28
note_off - ch:00,  note:39,  vel:40 time:182
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:3C,  vel:40 time:64
note_off - ch:00,  note:40,  vel:40 time:0
note_on  - ch:00,  note:4A,  vel:3B time:164
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:3C,  vel:40 time:59
note_off - ch:00,  note:40,  vel:40 time:0
note_on  - ch:00,  note:48,  vel:3B time:46
note_off - ch:00,  note:4A,  vel:40 time:27
note_on  - ch:00,  note:47,  vel:3B time:79
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:48,  vel:40 time:26
note_off - ch:00,  note:40,  vel:40 time:33
note_off - ch:00,  note:3C,  vel:40 time:0
note_on  - ch:00,  note:48,  vel:3B time:46
note_off - ch:00,  note:47,  vel:40 time:27
note_on  - ch:00,  note:4C,  vel:3A time:79
note_on  - ch:00,  note:39,  vel:31 time:0
note_off - ch:00,  note:48,  vel:40 time:29
note_off - ch:00,  note:4C,  vel:40 time:37
note_on  - ch:00,  note:3C,  vel:31 time:167
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:39,  vel:40 time:1
note_off - ch:00,  note:40,  vel:40 time:56
note_off - ch:00,  note:3C,  vel:40 time:0
note_on  - ch:00,  note:4D,  vel:3C time:177
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:3C,  vel:40 time:57
note_off - ch:00,  note:40,  vel:40 time:0
note_on  - ch:00,  note:4C,  vel:3C time:60
note_off - ch:00,  note:4D,  vel:40 time:45
note_on  - ch:00,  note:4B,  vel:3C time:72
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:4C,  vel:40 time:45
note_off - ch:00,  note:40,  vel:40 time:12
note_off - ch:00,  note:3C,  vel:40 time:0
note_on  - ch:00,  note:4C,  vel:3C time:60
note_off - ch:00,  note:4B,  vel:40 time:45
note_on  - ch:00,  note:53,  vel:3C time:72
note_on  - ch:00,  note:39,  vel:31 time:0
note_off - ch:00,  note:4C,  vel:40 time:42
note_on  - ch:00,  note:51,  vel:3C time:67
note_off - ch:00,  note:53,  vel:40 time:42
note_on  - ch:00,  note:50,  vel:3C time:66
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:39,  vel:40 time:1
note_off - ch:00,  note:51,  vel:40 time:42
note_off - ch:00,  note:3C,  vel:40 time:25
note_off - ch:00,  note:40,  vel:40 time:0
note_on  - ch:00,  note:51,  vel:3C time:40
note_off - ch:00,  note:50,  vel:40 time:42
note_on  - ch:00,  note:53,  vel:3C time:66
note_on  - ch:00,  note:39,  vel:31 time:0
note_off - ch:00,  note:51,  vel:40 time:42
note_on  - ch:00,  note:51,  vel:3C time:66
note_off - ch:00,  note:53,  vel:40 time:41
note_off - ch:00,  note:39,  vel:40 time:66
note_on  - ch:00,  note:50,  vel:3C time:1
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:51,  vel:40 time:58
note_off - ch:00,  note:40,  vel:40 time:36
note_off - ch:00,  note:3C,  vel:40 time:0
note_on  - ch:00,  note:51,  vel:3C time:55
note_off - ch:00,  note:50,  vel:40 time:58
note_off - ch:00,  note:51,  vel:40 time:64
note_on  - ch:00,  note:39,  vel:31 time:27
note_on  - ch:00,  note:54,  vel:32 time:18
note_off - ch:00,  note:39,  vel:40 time:243
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:3C,  vel:40 time:62
note_off - ch:00,  note:40,  vel:40 time:0
note_on  - ch:00,  note:51,  vel:51 time:184
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:54,  vel:40 time:15
note_off - ch:00,  note:51,  vel:40 time:35
note_off - ch:00,  note:3C,  vel:40 time:9
note_off - ch:00,  note:40,  vel:40 time:0
note_on  - ch:00,  note:54,  vel:51 time:174
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:54,  vel:40 time:50
note_off - ch:00,  note:40,  vel:40 time:9
note_off - ch:00,  note:3C,  vel:40 time:0
note_on  - ch:00,  note:4F,  vel:54 time:101
note_on  - ch:00,  note:51,  vel:54 time:31
note_off - ch:00,  note:4F,  vel:40 time:27
note_on  - ch:00,  note:53,  vel:67 time:16
note_on  - ch:00,  note:34,  vel:31 time:0
note_off - ch:00,  note:51,  vel:40 time:14
note_off - ch:00,  note:53,  vel:40 time:27
note_on  - ch:00,  note:4E,  vel:40 time:176
note_on  - ch:00,  note:51,  vel:45 time:0
note_on  - ch:00,  note:3B,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:34,  vel:40 time:1
note_off - ch:00,  note:40,  vel:40 time:53
note_off - ch:00,  note:3B,  vel:40 time:0
note_off - ch:00,  note:51,  vel:40 time:14
note_off - ch:00,  note:4E,  vel:40 time:0
note_on  - ch:00,  note:4F,  vel:45 time:150
note_on  - ch:00,  note:3B,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_on  - ch:00,  note:4C,  vel:40 time:3
note_off - ch:00,  note:3B,  vel:40 time:53
note_off - ch:00,  note:40,  vel:40 time:0
note_off - ch:00,  note:4F,  vel:40 time:14
note_off - ch:00,  note:4C,  vel:40 time:3
note_on  - ch:00,  note:4E,  vel:40 time:153
note_on  - ch:00,  note:51,  vel:45 time:0
note_on  - ch:00,  note:3B,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:3B,  vel:40 time:56
note_off - ch:00,  note:40,  vel:40 time:0
note_off - ch:00,  note:4E,  vel:40 time:14
note_off - ch:00,  note:51,  vel:40 time:0
note_on  - ch:00,  note:4F,  vel:47 time:96
note_on  - ch:00,  note:51,  vel:47 time:27
note_off - ch:00,  note:4F,  vel:40 time:29
note_on  - ch:00,  note:53,  vel:6A time:4
note_on  - ch:00,  note:34,  vel:31 time:0
note_off - ch:00,  note:51,  vel:40 time:22
note_off - ch:00,  note:53,  vel:40 time:14
note_on  - ch:00,  note:4E,  vel:3B time:179
note_on  - ch:00,  note:51,  vel:47 time:0
note_on  - ch:00,  note:3B,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:34,  vel:40 time:1
note_off - ch:00,  note:40,  vel:40 time:52
note_off - ch:00,  note:3B,  vel:40 time:0
note_off - ch:00,  note:51,  vel:40 time:14
note_off - ch:00,  note:4E,  vel:40 time:0
note_on  - ch:00,  note:4C,  vel:3B time:149
note_on  - ch:00,  note:4F,  vel:47 time:0
note_on  - ch:00,  note:3B,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:3B,  vel:40 time:56
note_off - ch:00,  note:40,  vel:40 time:0
note_off - ch:00,  note:4C,  vel:40 time:15
note_off - ch:00,  note:4F,  vel:40 time:0
note_on  - ch:00,  note:4E,  vel:3B time:157
note_on  - ch:00,  note:51,  vel:47 time:0
note_on  - ch:00,  note:3B,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:3B,  vel:40 time:56
note_off - ch:00,  note:40,  vel:40 time:0
note_off - ch:00,  note:4E,  vel:40 time:15
note_off - ch:00,  note:51,  vel:40 time:0
note_on  - ch:00,  note:4F,  vel:4F time:102
note_on  - ch:00,  note:51,  vel:4F time:27
note_on  - ch:00,  note:53,  vel:6E time:27
note_on  - ch:00,  note:34,  vel:29 time:0
